: physical|物質
積水 水 保留地 土|土地|地|陸|陸地
碎塊 實體 紙屑 紙|紙張
碎塊 物質 紙屑 紙|紙張
碎塊 物體 紙屑 紙|紙張
碎塊 實體 碎紙 紙|紙張
碎塊 物質 碎紙 紙|紙張
碎塊 物體 碎紙 紙|紙張
火種 實體 火石 石子|石頭
火種 物質 火石 石子|石頭
火種 物體 火石 石子|石頭
火種 實體 打火機 工具|用具|用品
火種 物質 打火機 工具|用具|用品
火種 物體 打火機 工具|用具|用品
火種 實體 火柴 工具|用具|用品
火種 物質 火柴 工具|用具|用品
火種 物體 火柴 工具|用具|用品
郵件 實體 包裹 成品|物品|製品
郵件 物質 包裹 成品|物品|製品
郵件 物體 包裹 成品|物品|製品
郵件 實體 匯款 貨幣|錢|錢幣
郵件 物質 匯款 貨幣|錢|錢幣
郵件 物體 匯款 貨幣|錢|錢幣
郵件 實體 傳真 副本|影本|複本|謄本
郵件 物質 傳真 副本|影本|複本|謄本
郵件 物體 傳真 副本|影本|複本|謄本
外壁 實體 桂皮 桂樹
外壁 物質 桂皮 桂樹
外壁 物體 桂皮 桂樹
外壁 實體 樹皮 樹|樹木
外壁 物質 樹皮 樹|樹木
外壁 物體 樹皮 樹|樹木
外壁 實體 果皮 果|果子|果實|水果
外壁 物質 果皮 果|果子|果實|水果
外壁 物體 果皮 果|果子|果實|水果
外壁 實體 香蕉皮 香蕉
外壁 物質 香蕉皮 香蕉
外壁 物體 香蕉皮 香蕉
外壁 實體 皮質 五臟六腑|內臟|臟腑
外壁 物質 皮質 五臟六腑|內臟|臟腑
外壁 物體 皮質 五臟六腑|內臟|臟腑
外壁 實體 板塊 大地
外壁 物質 板塊 大地
外壁 物體 板塊 大地
外壁 實體 地面 土|土地|地|陸|陸地
外壁 物質 地面 土|土地|地|陸|陸地
外壁 物體 地面 土|土地|地|陸|陸地
外壁 實體 水面 水域|水澤
外壁 物質 水面 水域|水澤
外壁 物體 水面 水域|水澤
外壁 實體 海面 大海|汪洋大海|洋|海|海洋
外壁 物質 海面 大海|汪洋大海|洋|海|海洋
外壁 物體 海面 大海|汪洋大海|洋|海|海洋
外壁 實體 河面 川|江|江河|河|河川|河流
外壁 物質 河面 川|江|江河|河|河川|河流
外壁 物體 河面 川|江|江河|河|河川|河流
外壁 實體 湖面 水潭|湖|湖泊|潭
外壁 物質 湖面 水潭|湖|湖泊|潭
外壁 物體 湖面 水潭|湖|湖泊|潭
外壁 實體 鞋面 鞋|鞋子
外壁 物質 鞋面 鞋|鞋子
外壁 物體 鞋面 鞋|鞋子
外壁 實體 路面 路|道|道路|馬路
外壁 物質 路面 路|道|道路|馬路
外壁 物體 路面 路|道|道路|馬路
外壁 實體 牆面 壁|牆|牆垣|牆壁
外壁 物質 牆面 壁|牆|牆垣|牆壁
外壁 物體 牆面 壁|牆|牆垣|牆壁
外壁 實體 車殼 車|車子
外壁 物質 車殼 車|車子
外壁 物體 車殼 車|車子
外壁 實體 桌面 案|桌|桌子|檯|檯子
外壁 物質 桌面 案|桌|桌子|檯|檯子
外壁 物體 桌面 案|桌|桌子|檯|檯子
外壁 實體 檯面 案|桌|桌子|檯|檯子
外壁 物質 檯面 案|桌|桌子|檯|檯子
外壁 物體 檯面 案|桌|桌子|檯|檯子
外壁 實體 球面 圓球|球
外壁 物質 球面 圓球|球
外壁 物體 球面 圓球|球
外壁 實體 扇面 扇|扇子
外壁 物質 扇面 扇|扇子
外壁 物體 扇面 扇|扇子
外壁 實體 鏡面 鏡|鏡子
外壁 物質 鏡面 鏡|鏡子
