: physical|物質
積水 water|水 保留地 land|陸地
碎塊 physical|物質 紙屑 paper|紙張
碎塊 physical|物質 碎紙 paper|紙張
火種 physical|物質 火石 石頭|stones
火種 physical|物質 打火機 tool|用具
火種 physical|物質 火柴 tool|用具
郵件 physical|物質 包裹 artifact|人工物
郵件 physical|物質 匯款 money|貨幣
郵件 physical|物質 傳真 副本|duplicate
外壁 physical|物質 桂皮 月桂|laurel
外壁 physical|物質 樹皮 tree|樹
外壁 physical|物質 果皮 fruit|水果
外壁 physical|物質 香蕉皮 香蕉|banana
外壁 physical|物質 皮質 viscera|臟
外壁 physical|物質 板塊 earth|大地
外壁 physical|物質 地面 land|陸地
外壁 physical|物質 水面 waters|水域
外壁 physical|物質 海面 海|sea
外壁 physical|物質 河面 河|river
外壁 physical|物質 湖面 湖|lake
外壁 physical|物質 鞋面 鞋子|shoes
外壁 physical|物質 路面 route|道路
外壁 physical|物質 牆面 牆壁|wall
外壁 physical|物質 車殼 LandVehicle|車
外壁 physical|物質 桌面 桌子|table
外壁 physical|物質 檯面 桌子|table
外壁 physical|物質 球面 球|ball
外壁 physical|物質 扇面 扇子|fan
外壁 physical|物質 鏡面 鏡子|mirror
外壁 physical|物質 彈殼 子彈|bullet
外壁 physical|物質 封面 書籍|books
刺 physical|物質 針葉 葉子|leaf
刺 physical|物質 尖刀 刀子|knife
刺 physical|物質 刺針 tool|用具
刺 physical|物質 尖塔 樓房|TallBuilding
刺 physical|物質 高塔 樓房|TallBuilding
刺 physical|物質 塔 樓房|TallBuilding
刺 physical|物質 針 tool|用具
刺 physical|物質 針筒 tool|用具
刺 physical|物質 針劑 tool|用具
集合體 physical|物質 合輯 作品|works
配給 physical|物質 撥款 fund|資金
硬塊 physical|物質 硬殼 殼|shell
硬塊 physical|物質 硬木 wood|木
硬塊 physical|物質 鋼盔 帽子|headgear
硬塊 physical|物質 頭盔 帽子|headgear
硬塊 physical|物質 牛皮紙 paper|紙張
發光體 physical|物質 螢火蟲 InsectWorm|蟲
薄片 physical|物質 金箔 黃金|gold
陳列品 physical|物質 展覽品 artifact|人工物
陳列品 physical|物質 樣品屋 house|房屋
聖品 physical|物質 特效藥 medicine|藥物
聖品 physical|物質 利器 tool|用具
良幣 physical|物質 商務艙 艙|cabin
良幣 physical|物質 強勢股 證券|stocks
良幣 physical|物質 績優股 證券|stocks
良幣 physical|物質 駿馬 馬|horse
個體 physical|物質 一草一木 plant|植物
保育類 animate|生物 綠蠵龜 龜|turtle
理監事 human|人 理事 成員|member
移民 human|人 外僑 國民|citizen
移民 human|人 僑民 國民|citizen
移民 human|人 僑胞 國民|citizen
慢郎中 human|人 文火 fire|火
慢郎中 human|人 慢火 fire|火
飛毛腿 human|人 千里馬 駿馬|ExcellentSteed
評審 human|人 裁判 專業人士|professional
異鄉人 human|人 外地人 居民|resident
發起人 human|人 鼻祖 人才|talent
發起人 human|人 始祖 人才|talent
發起人 human|人 祖師 人才|talent
發起人 human|人 創始人 人才|talent
發起人 human|人 創辦人 人才|talent
代理人 human|人 代理商 商人|businessman
專人 human|人 特派員 記者|reporter
胖子 human|人 培根 豬肉|pork
胖子 human|人 五花肉 肉品|meat
胖子 human|人 肥肉 肉品|meat
監護人 human|人 守護神 神仙|immortal
監護人 human|人 護衛 專業人士|professional
監護人 human|人 保安 專業人士|professional
監護人 human|人 守衛 專業人士|professional
監護人 human|人 侍衛 專業人士|professional
監護人 human|人 駐衛警 專業人士|professional
監護人 human|人 警衛 專業人士|professional
餓鬼 human|人 饑民 人民|people
中年人 human|人 歐巴桑 婦女|MarriedWomen
中年人 human|人 大娘 女性|woman
中年人 human|人 大媽 女性|woman
熟面孔 human|人 老主顧 顧客|customer
車主 LandVehicle|車 麻子 斑點|spot
筆者 human|人 文書 秘書|secretary
假人 human|人 假牙 牙齒|tooth
假人 human|人 假髮 頭髮|HeadHair
假人 human|人 義肢 limb|肢
假人 human|人 人造衛星 衛星|satellite
假人 human|人 衛星 衛星|satellite
假人 human|人 假山 山|mountain
假人 human|人 人造雨 雨|rain
假人 human|人 尼龍 纖維|fiber
假人 human|人 玻纖 纖維|fiber
跟班 human|人 隨員 員工|staff
天主 上帝|God 教宗 領袖|leader
天主 上帝|God 教皇 領袖|leader
天主 上帝|God 天主教徒 教徒|ReligiousFollower
天主 上帝|God 教父 教徒|ReligiousFollower
天主 上帝|God 修女 女性|woman
天主 上帝|God 天主堂 教堂|church
天主 上帝|God 天主教堂 教堂|church
天父 上帝|God 十字架 tool|用具
主 上帝|God 十字架 tool|用具
主 元首|HeadOfState 侍從 佣人|servant
主 元首|HeadOfState 宮女 女佣|maidservant
主 元首|HeadOfState 翰林 學者|scholar
主 元首|HeadOfState 御醫 醫師|physician
主 元首|HeadOfState 闕 house|房屋
主 元首|HeadOfState 廟堂 寺廟|temple
主 元首|HeadOfState 陵墓 墳墓|grave
主 元首|HeadOfState 陵寢 墳墓|grave
主 元首|HeadOfState 璽 印章|seal
主 元首|HeadOfState 宮燈 燈|lamp
主 元首|HeadOfState 王族 human|人
主 元首|HeadOfState 貴族 human|人
主 元首|HeadOfState 諸侯 human|人
主 元首|HeadOfState 爵 human|人
主 元首|HeadOfState 侯 human|人
主 元首|HeadOfState 王公 human|人
主 元首|HeadOfState 王室 human|人
主 元首|HeadOfState 宮廷 house|房屋
主 元首|HeadOfState 宮殿 house|房屋
主 元首|HeadOfState 殿宇 house|房屋
主 元首|HeadOfState 殿堂 house|房屋
主 元首|HeadOfState 大內 house|房屋
主 元首|HeadOfState 王宮 house|房屋
主 元首|HeadOfState 皇宮 house|房屋
主 元首|HeadOfState 宮 house|房屋
主 元首|HeadOfState 聖旨 公文|OfficialDocument
主 元首|HeadOfState 旨 公文|OfficialDocument
主 元首|HeadOfState 詔令 公文|OfficialDocument
主 元首|HeadOfState 詔書 公文|OfficialDocument
耶和華 上帝|God 十字架 tool|用具
聖父 上帝|God 十字架 tool|用具
孤魂 靈魂|soul 孤家寡人 human|人
孤魂 靈魂|soul 孤舟 扁舟|SmallBoat
飛天 神仙|immortal 飛鼠 鼠|mouse
飛天 神仙|immortal 鼯鼠 鼠|mouse
飛天 神仙|immortal 飛蟲 InsectWorm|蟲
飛天 神仙|immortal 白蟻 螞蟻|ant
飛天 神仙|immortal 蝗蟲 蚱蜢|grasshopper
飛天 神仙|immortal 飛魚 fish|魚
飛天 神仙|immortal 龍 祥麟|AuspiciousAnimals
飛天 神仙|immortal 飛行器 vehicle|交通工具
飛天 神仙|immortal 機 vehicle|交通工具
守護神 神仙|immortal 護衛 專業人士|professional
守護神 神仙|immortal 保安 專業人士|professional
守護神 神仙|immortal 守衛 專業人士|professional
守護神 神仙|immortal 侍衛 專業人士|professional
守護神 神仙|immortal 駐衛警 專業人士|professional
守護神 神仙|immortal 警衛 專業人士|professional
風神 wind|風 酒神 酒|liquor
風神 wind|風 海神 海|sea
風神 wind|風 海龍王 海|sea
風神 wind|風 龍王 海|sea
風神 wind|風 財神 wealth|錢財
風神 wind|風 財神爺 wealth|錢財
風神 wind|風 山神 山|mountain
風神 wind|風 太陽神 太陽|sun
風神 wind|風 火神 fire|火
風神 wind|風 祝融 fire|火
酒神 酒|liquor 海神 海|sea
酒神 酒|liquor 海龍王 海|sea
酒神 酒|liquor 龍王 海|sea
酒神 酒|liquor 財神 wealth|錢財
酒神 酒|liquor 財神爺 wealth|錢財
酒神 酒|liquor 山神 山|mountain
